1 mil Accounts,,,
# Threads, Time (ns), inHTMs, inSTMs
1,126522096,99957,43
4,187277148,96541,3459
8,909630590,19522,80478
16,965450606,7224,92776
24,1027345800,2699,97285
32,1236931979,901,99099
48,1424655108,3132,96852
56,1511946933,5552,94408
64,1701526150,2119,97849
,,,
1 mil Accounts with Disjoint Access,,,
# Threads, Time (ns), inHTMs, inSTMs
1,151361091,99964,36
4,436825262,82091,17909
8,223019197,86655,13345
16,638610520,31284,68716
24,1187632800,1632,98352
32,1227292466,1171,98829
48,1481529973,10,99974
56,1709091937,2254,97706
64,1696516970,2010,97958
,,,
1 k Accounts,,,
# Threads, Time (ns), inHTMs, inSTMs
1,99819103,99989,11
4,133675029,99746,254
8,160887873,98380,1620
16,233524382,93954,6046
24,196923076,96164,3820
32,228924246,95973,4027
48,913287083,46334,53650
56,1205987517,24496,75464
64,1055782593,34916,65052
,,,
1 k Accounts with Disjoint Access,,,
# Threads, Time (ns), inHTMs, inSTMs
1,101483123,99996,4
4,706291702,58956,41044
8,159565589,92019,7981
16,924486391,5047,94953
24,1020566782,7264,92720
32,1188037267,6908,93092
48,1211889763,2952,97032
56,1351191401,7576,92384
64,1678962254,3962,96006
